exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
HAT-P-18 b,HAT-P-18,0.77,0.031,0.031,0.183,0.032,0.034,5.508029,4.20E-06,4.20E-06,0.0559,0.0007,0.0007
HAT-P-19 b,HAT-P-19,0.842,0.042,0.042,0.292,0.018,0.018,4.008784,7.00E-07,7.00E-07,0.0466,0.0008,0.0008
HAT-P-2 b,HAT-P-2,1.34,0.09,0.09,8.74,0.26,0.26,5.6334729,6.10E-06,6.10E-06,0.0674,0.00081,0.00081
HAT-P-20 b,HAT-P-20,0.756,0.028,0.028,7.246,0.187,0.187,2.875317,4.00E-06,4.00E-06,0.0361,0.0005,0.0005
HAT-P-21 b,HAT-P-21,0.947,0.042,0.042,4.063,0.161,0.161,4.124461,7.00E-06,7.00E-06,0.0494,0.0007,0.0007
HAT-P-22 b,HAT-P-22,0.916,0.035,0.035,2.147,0.061,0.061,3.21222,9.00E-06,9.00E-06,0.0414,0.0005,0.0005
HAT-P-23 b,HAT-P-23,1.13,0.05,0.05,2.09,0.11,0.11,1.212884,2.00E-05,2.00E-05,0.0232,0.0002,0.0002
HAT-P-24 b,HAT-P-24,1.191,0.042,0.042,0.685,0.033,0.033,3.35524,7.00E-06,7.00E-06,0.0465,0.0006,0.0006
HAT-P-26 b,HAT-P-26,0.816,0.033,0.033,0.0585,0.00717,0.00717,4.234516,1.50E-05,1.50E-05,0.0479,0.0006,0.0006
HAT-P-27 b,HAT-P-27,0.945,0.035,0.035,0.66,0.033,0.033,3.0395803,1.50E-06,1.50E-06,0.0403,0.0005,0.0005
HAT-P-28 b,HAT-P-28,1.025,0.047,0.047,0.626,0.037,0.037,3.257215,7.00E-06,7.00E-06,0.0434,0.0007,0.0007
HAT-P-29 b,HAT-P-29,1.207,0.046,0.046,0.778,0.04,0.076,5.723186,4.90E-05,4.90E-05,0.0667,0.0008,0.0008
HAT-P-3 b,HAT-P-3,0.917,0.03,0.03,0.591,0.018,0.018,2.899703,5.40E-05,5.40E-05,0.03866,0.00041,0.00041
HAT-P-30 b,HAT-P-30,1.18,0.03,0.03,0.711,0.028,0.028,2.810595,5.00E-06,5.00E-06,0.0419,0.0005,0.0005
HAT-P-31 b,HAT-P-31,1.218,0.063,0.063,2.171,0.077,0.105,5.005425,9.20E-05,9.10E-05,0.055,0.015,0.015
HAT-P-32 b,HAT-P-32,1.176,0.07,0.07,0.75,0.13,0.13,2.15000825,1.20E-07,1.20E-07,0.03427,0.00042,0.0004
HAT-P-33 b,HAT-P-33,1.403,0.096,0.096,0.763,0.117,0.117,3.474474,1.00E-06,1.00E-06,0.0503,0.0011,0.0011
HAT-P-34 b,HAT-P-34,1.36,0.01,0.01,3.328,0.211,0.211,5.452654,1.60E-05,1.60E-05,0.0677,0.0008,0.0008
HAT-P-35 b,HAT-P-35,1.236,0.048,0.048,1.054,0.033,0.033,3.646706,2.10E-05,2.10E-05,0.0498,0.0006,0.0006
HAT-P-36 b,HAT-P-36,1.022,0.049,0.049,1.832,0.099,0.099,1.327347,3.00E-06,3.00E-06,0.0238,0.0004,0.0004
HAT-P-37 b,HAT-P-37,0.929,0.043,0.043,1.169,0.103,0.103,2.797436,7.00E-06,7.00E-06,0.0379,0.0006,0.0006
HAT-P-38 b,HAT-P-38,0.886,0.044,0.044,0.267,0.02,0.02,4.640382,3.20E-05,3.20E-05,0.0523,0.0009,0.0009
HAT-P-39 b,HAT-P-39,1.404,0.051,0.051,0.599,0.099,0.099,3.54387,5.00E-06,5.00E-06,0.0509,0.0006,0.0006
HAT-P-4 b,HAT-P-4,1.26,0.14,0.14,0.68,0.04,0.04,3.0565114,2.80E-06,2.80E-06,0.0446,0.0012,0.0012
HAT-P-40 b,HAT-P-40,1.512,0.109,0.045,0.615,0.038,0.038,4.457243,1.00E-05,1.00E-05,0.0608,0.0015,0.0006
HAT-P-41 b,HAT-P-41,1.28,0.09,0.09,0.8,0.102,0.102,2.694047,4.00E-06,4.00E-06,0.0426,0.0005,0.0005
HAT-P-42 b,HAT-P-42,1.179,0.067,0.067,0.975,0.126,0.126,4.641876,3.20E-05,3.20E-05,0.0575,0.0011,0.0011
HAT-P-43 b,HAT-P-43,1.048,0.042,0.031,0.66,0.083,0.083,3.332688,1.60E-05,1.60E-05,0.0443,0.0006,0.0004
HAT-P-44 b,HAT-P-44,0.939,0.041,0.041,0.392,0.031,0.031,4.301217,1.80E-05,1.80E-05,0.0507,0.0007,0.0007
HAT-P-44 c,HAT-P-44,0.939,0.041,0.041,1.6,0.2,0.2,219.9,4.5,4.5,0.699,0.014,0.014
HAT-P-45 b,HAT-P-45,1.259,0.058,0.058,0.892,0.099,0.137,3.128992,1.00E-05,1.00E-05,0.0452,0.0007,0.0007
HAT-P-46 b,HAT-P-46,1.284,0.06,0.095,0.493,0.052,0.082,4.463129,4.80E-05,4.80E-05,0.0577,0.0009,0.0014
HAT-P-46 c,HAT-P-46,1.284,0.06,0.095,2,0.3,0.3,77.7,0.6,0.6,0.387,0.007,0.01
HAT-P-47 b,HAT-P-47,1.387,0.038,0.038,0.206,0.039,0.039,4.732182,1.30E-05,1.30E-05,0.0615,0.0006,0.0006
HAT-P-48 b,HAT-P-48,1.099,0.041,0.041,0.168,0.024,0.024,4.40865,8.00E-06,8.00E-06,0.0543,0.0007,0.0007
HAT-P-49 b,HAT-P-49,1.543,0.051,0.051,1.73,0.205,0.205,2.691548,6.00E-06,6.00E-06,0.0438,0.0005,0.0005
HAT-P-5 b,HAT-P-5,1.163,0.065,0.065,1.06,0.11,0.11,2.788491,2.50E-05,2.50E-05,0.04079,0.00076,0.00076
